month_end,trade_date,next_trade_date,D10,LS,turnover_D10,turnover_LS,turnover_LS_reconst,turnover_LS_reweight,ls_gross_long,ls_gross_short,risk_ls_weighted_multiplier,risk_ls_weighted_score,risk_ls_flagged,risk_ls_high,risk_d10_weighted_multiplier,risk_d10_weighted_score,risk_d10_flagged,risk_d10_high,risk_universe_flagged,risk_universe_high,risk_universe_avg_multiplier,dispersion,dispersion_gate_active,CDI,BOVA11,LS_pre_overlay,beta_est,hedge_ratio,vt_scale,LS_vt,LS_pre_vt,LS_carry,LS_borrow_cost,LS_financing_net,LS_net
2011-01-31,2011-02-01,2011-03-01,0.0072170423210672725,0.011554359616670342,0.0,0.005855673978932745,0.0,0.005855673978932745,0.5000000000000003,0.5000000000000002,0.9962802772079362,0.01487889116825415,3.0,0.0,0.9929906542056075,0.02803738317757001,2.0,0.0,3.0,0.0,0.9924242424242424,2.1859472956446657,1,0.008425009434362085,-0.0011961722488037507,0.011554359616670342,0.0,0.0,1.0,0.011554359616670342,0.011554359616670342,0.004212504717181044,0.0032170150550017164,0.0009954896621793279,0.012549849278849669
2011-02-28,2011-03-01,2011-04-01,0.05278735277436442,0.01816126920989952,0.0,0.0,0.0,0.0,0.5000000000000003,0.5000000000000002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.087846467337309,0,0.009206833909138457,0.017964071856287456,0.01816126920989952,0.0,0.0,1.0,0.01816126920989952,0.01816126920989952,0.00460341695456923,0.0032170150550017164,0.0013864018995675136,0.019547671109467032
2011-03-31,2011-04-01,2011-05-02,0.006104299337803001,0.023211208632949742,0.0,0.0,0.0,0.0,0.5000000000000003,0.5000000000000002,0.9888795810265854,0.04448167589365727,4.0,0.0,0.9953271028037383,0.018691588785046676,1.0,0.0,4.0,0.0,0.9902912621359223,2.033559923160884,0,0.008396233613529702,-0.03676470588235292,0.023211208632949742,0.0,0.0,1.0,0.023211208632949742,0.023211208632949742,0.004198116806764853,0.0032170150550017164,0.0009811017517631364,0.024192310384712878
2011-04-29,2011-05-02,2011-06-01,0.0008767607030888405,0.016160658807696963,0.16306799871092525,0.2850116593778606,0.10005466005180431,0.18495699932605628,0.49999999999999994,0.4999999999999998,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.150147354981376,1,0.009853034390991944,-0.029312977099236637,0.016160658807696963,0.0,0.0,1.0,0.016160658807696963,0.016160658807696963,0.004926517195495969,0.003217015055001714,0.0017095021404942554,0.01787016094819122
2011-05-31,2011-06-01,2011-07-01,-0.027376306526087982,0.0007634888852786993,0.0,0.0,0.0,0.0,0.49999999999999994,0.4999999999999998,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1463085180837402,0,0.009535252207044431,-0.0301981755268953,0.0007634888852786993,0.0,0.0,1.0,0.0007634888852786993,0.0007634888852786993,0.004767626103522214,0.003217015055001714,0.0015506110485205,0.0023140999337991994
2011-06-30,2011-07-01,2011-08-01,-0.04638529854883919,0.014424003581140238,0.20118052139695086,0.26000653584995026,0.06260800305263998,0.19739853279731026,0.5000000000000001,0.49999999999999983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.164331440425322,1,0.009675260632866944,-0.05124878365228669,0.014424003581140238,0.0,0.0,1.0,0.014424003581140238,0.014424003581140238,0.0048376303164334705,0.0032170150550017143,0.0016206152614317562,0.016044618842571995
2011-07-29,2011-08-01,2011-09-01,-0.0014520292599792158,0.013127135520580091,0.0,0.0,0.0,0.0,0.5000000000000001,0.49999999999999983,0.9994612308560465,0.0021550765758133797,1.0,0.0,0.995543597687957,0.017825609248171427,1.0,0.0,1.0,0.0,0.9975490196078431,2.1115095375697503,0,0.010704896208957981,-0.029401709401709386,0.013127135520580091,0.007053694247229077,0.0,1.0,0.013127135520580091,0.013127135520580091,0.005352448104478989,0.0032170150550017143,0.0021354330494772747,0.015262568570057367
2011-08-31,2011-09-01,2011-10-03,-0.07296275227983218,0.012451983034747385,0.0,0.0,0.0,0.0,0.5000000000000001,0.49999999999999983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9950980392156863,2.103823963994617,0,0.009398254167376052,-0.09915463191264529,0.012451983034747385,0.007050880473308848,0.0,1.0,0.012451983034747385,0.012451983034747385,0.004699127083688024,0.0032170150550017143,0.0014821120286863101,0.013934095063433696
2011-09-30,2011-10-03,2011-11-01,0.05551488751133691,-0.01063773534964779,0.15873015873015817,0.3342278270820949,0.11010968842997888,0.22411813865211602,0.4999999999999997,0.5000000000000001,0.9993275565400955,0.0026897738396180915,1.0,0.0,0.997360116518995,0.010559533924019936,1.0,0.0,1.0,0.0,0.9975,2.1891795144676593,1,0.008789482465142662,0.08856304985337249,-0.01063773534964779,0.005236115882691797,0.0,1.0,-0.01063773534964779,-0.01063773534964779,0.004394741232571332,0.003217015055001716,0.0011777261775696157,-0.009460009172078175
2011-10-31,2011-11-01,2011-12-01,0.030313667736347322,0.011353910444639329,0.18390804597701094,0.35879598602593915,0.09431718936200979,0.2644787966639293,0.5000000000000001,0.5000000000000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1994065430927905,1,0.008567424211848751,0.025502873563218342,0.011353910444639329,-0.06771698877244803,0.0,1.0,0.011353910444639329,0.011353910444639329,0.004283712105924376,0.003217015055001716,0.0010666970509226603,0.01242060749556199
